Cycles,Censoring Indicator
137.72,Failed
26.78,Failed
427.35,Failed
139.72,Failed
51.7,Failed
290.11,Failed
10.02,Failed
99.33,Failed
91.28,Failed
23.19,Failed
89.38,Failed
27.81,Failed
150.15,Failed
47.87,Failed
122.4,Failed
41.82,Failed
195.94,Failed
99.44,Failed
257.47,Failed
55.59,Failed
100.23,Failed
43.89,Failed
437.29,Failed
63.2,Failed
63.12,Failed
94.35,Failed
155.43,Failed
90.63,Failed
455.87,Failed
9.24,Failed
7.14,Failed
21.27,Failed
596.67,Failed
112.04,Failed
203.22,Failed
23.1,Failed
1149.66,Failed
181.6,Failed
69.34,Failed
321.2,Failed
