Failure,Cycles
Break,729.3
Break,292.05
Break,1514.7
Break,141.9
Break,941.05
Break,1055.45
Break,1221
Break,968.55
Break,413.05
Break,547.25
Break,735.9
Break,1740.75
Break,503.88
Break,201.78
Break,1046.52
Break,98.04
Break,650.18
Break,729.22
Break,843.6
Break,669.18
Break,285.38
Break,378.1
Break,508.44
Break,1202.7
Break,503.88
Obstruction,137.72
Obstruction,26.78
Obstruction,427.35
Obstruction,139.72
Obstruction,51.7
Obstruction,290.11
Obstruction,10.02
Obstruction,99.33
Obstruction,91.28
Obstruction,23.19
Obstruction,89.38
Obstruction,27.81
Obstruction,150.15
Obstruction,47.87
Obstruction,122.4
Obstruction,41.82
Obstruction,195.94
Obstruction,99.44
Obstruction,257.47
Obstruction,55.59
Obstruction,100.23
Obstruction,43.89
Obstruction,437.29
Obstruction,63.2
Obstruction,63.12
Obstruction,94.35
Obstruction,155.43
Obstruction,90.63
Obstruction,455.87
Obstruction,9.24
Obstruction,7.14
Obstruction,21.27
Obstruction,596.67
Obstruction,112.04
Obstruction,203.22
Obstruction,23.1
Obstruction,1149.66
Obstruction,181.6
Obstruction,69.34
Obstruction,321.2
