Failure,Cycles,Censoring Indicator,Risked,Failed,Count
Obstruction,7.14,Failed,65,1,1
Obstruction,9.24,Failed,64,1,1
Obstruction,10.02,Failed,63,1,1
Obstruction,21.27,Failed,62,1,1
Obstruction,23.1,Failed,61,1,1
Obstruction,23.19,Failed,60,1,1
Obstruction,26.78,Failed,59,1,1
Obstruction,27.81,Failed,58,1,1
Obstruction,41.82,Failed,57,1,1
Obstruction,43.89,Failed,56,1,1
Obstruction,47.87,Failed,55,1,1
Obstruction,51.7,Failed,54,1,1
Obstruction,55.59,Failed,53,1,1
Obstruction,63.12,Failed,52,1,1
Obstruction,63.2,Failed,51,1,1
Obstruction,69.34,Failed,50,1,1
Obstruction,89.38,Failed,49,1,1
Obstruction,90.63,Failed,48,1,1
Obstruction,91.28,Failed,47,1,1
Obstruction,94.35,Failed,46,1,1
Break,98.04,Failed,45,1,1
Obstruction,99.33,Failed,44,1,1
Obstruction,99.44,Failed,43,1,1
Obstruction,100.23,Failed,42,1,1
Obstruction,112.04,Failed,41,1,1
Obstruction,122.4,Failed,40,1,1
Obstruction,137.72,Failed,39,1,1
Obstruction,139.72,Failed,38,1,1
Break,141.9,Failed,37,1,1
Obstruction,150.15,Failed,36,1,1
Obstruction,155.43,Failed,35,1,1
Obstruction,181.6,Failed,34,1,1
Obstruction,195.94,Failed,33,1,1
Break,201.78,Failed,32,1,1
Obstruction,203.22,Failed,31,1,1
Obstruction,257.47,Failed,30,1,1
Break,285.38,Failed,29,1,1
Obstruction,290.11,Failed,28,1,1
Break,292.05,Failed,27,1,1
Obstruction,321.2,Failed,26,1,1
Break,378.1,Failed,25,1,1
Break,413.05,Failed,24,1,1
Obstruction,427.35,Failed,23,1,1
Obstruction,437.29,Failed,22,1,1
Obstruction,455.87,Failed,21,1,1
Break,503.88,Failed,20,1,2
Break,508.44,Failed,18,1,1
Break,547.25,Failed,17,1,1
Obstruction,596.67,Failed,16,1,1
Break,650.18,Failed,15,1,1
Break,669.18,Failed,14,1,1
Break,729.22,Failed,13,1,1
Break,729.3,Failed,12,1,1
Break,735.9,Failed,11,1,1
Break,843.6,Failed,10,1,1
Break,941.05,Failed,9,1,1
Break,968.55,Failed,8,1,1
Break,1046.52,Failed,7,1,1
Break,1055.45,Failed,6,1,1
Obstruction,1149.66,Failed,5,1,1
Break,1202.7,Failed,4,1,1
Break,1221,Failed,3,1,1
Break,1514.7,Failed,2,1,1
Break,1740.75,Failed,1,1,1
