Failure,Cycles,Censoring Indicator
Break,729.3,Failed
Break,292.05,Failed
Break,1514.7,Failed
Break,141.9,Failed
Break,941.05,Failed
Break,1055.45,Failed
Break,1221,Failed
Break,968.55,Failed
Break,413.05,Failed
Break,547.25,Failed
Break,735.9,Failed
Break,1740.75,Failed
Break,503.88,Failed
Break,201.78,Failed
Break,1046.52,Failed
Break,98.04,Failed
Break,650.18,Failed
Break,729.22,Failed
Break,843.6,Failed
Break,669.18,Failed
Break,285.38,Failed
Break,378.1,Failed
Break,508.44,Failed
Break,1202.7,Failed
Break,503.88,Failed
Obstruction,137.72,Censored
Obstruction,26.78,Censored
Obstruction,427.35,Censored
Obstruction,139.72,Censored
Obstruction,51.7,Censored
Obstruction,290.11,Censored
Obstruction,10.02,Censored
Obstruction,99.33,Censored
Obstruction,91.28,Censored
Obstruction,23.19,Censored
Obstruction,89.38,Censored
Obstruction,27.81,Censored
Obstruction,150.15,Censored
Obstruction,47.87,Censored
Obstruction,122.4,Censored
Obstruction,41.82,Censored
Obstruction,195.94,Censored
Obstruction,99.44,Censored
Obstruction,257.47,Censored
Obstruction,55.59,Censored
Obstruction,100.23,Censored
Obstruction,43.89,Censored
Obstruction,437.29,Censored
Obstruction,63.2,Censored
Obstruction,63.12,Censored
Obstruction,94.35,Censored
Obstruction,155.43,Censored
Obstruction,90.63,Censored
Obstruction,455.87,Censored
Obstruction,9.24,Censored
Obstruction,7.14,Censored
Obstruction,21.27,Censored
Obstruction,596.67,Censored
Obstruction,112.04,Censored
Obstruction,203.22,Censored
Obstruction,23.1,Censored
Obstruction,1149.66,Censored
Obstruction,181.6,Censored
Obstruction,69.34,Censored
Obstruction,321.2,Censored
