Failure,Cycles,Censoring Indicator,Risked,Failed,Count
Obstruction,7.14,Censored,65,0,1
Obstruction,9.24,Censored,64,0,1
Obstruction,10.02,Censored,63,0,1
Obstruction,21.27,Censored,62,0,1
Obstruction,23.1,Censored,61,0,1
Obstruction,23.19,Censored,60,0,1
Obstruction,26.78,Censored,59,0,1
Obstruction,27.81,Censored,58,0,1
Obstruction,41.82,Censored,57,0,1
Obstruction,43.89,Censored,56,0,1
Obstruction,47.87,Censored,55,0,1
Obstruction,51.7,Censored,54,0,1
Obstruction,55.59,Censored,53,0,1
Obstruction,63.12,Censored,52,0,1
Obstruction,63.2,Censored,51,0,1
Obstruction,69.34,Censored,50,0,1
Obstruction,89.38,Censored,49,0,1
Obstruction,90.63,Censored,48,0,1
Obstruction,91.28,Censored,47,0,1
Obstruction,94.35,Censored,46,0,1
Break,98.04,Failed,45,1,1
Obstruction,99.33,Censored,44,0,1
Obstruction,99.44,Censored,43,0,1
Obstruction,100.23,Censored,42,0,1
Obstruction,112.04,Censored,41,0,1
Obstruction,122.4,Censored,40,0,1
Obstruction,137.72,Censored,39,0,1
Obstruction,139.72,Censored,38,0,1
Break,141.9,Failed,37,1,1
Obstruction,150.15,Censored,36,0,1
Obstruction,155.43,Censored,35,0,1
Obstruction,181.6,Censored,34,0,1
Obstruction,195.94,Censored,33,0,1
Break,201.78,Failed,32,1,1
Obstruction,203.22,Censored,31,0,1
Obstruction,257.47,Censored,30,0,1
Break,285.38,Failed,29,1,1
Obstruction,290.11,Censored,28,0,1
Break,292.05,Failed,27,1,1
Obstruction,321.2,Censored,26,0,1
Break,378.1,Failed,25,1,1
Break,413.05,Failed,24,1,1
Obstruction,427.35,Censored,23,0,1
Obstruction,437.29,Censored,22,0,1
Obstruction,455.87,Censored,21,0,1
Break,503.88,Failed,20,2,2
Break,508.44,Failed,18,1,1
Break,547.25,Failed,17,1,1
Obstruction,596.67,Censored,16,0,1
Break,650.18,Failed,15,1,1
Break,669.18,Failed,14,1,1
Break,729.22,Failed,13,1,1
Break,729.3,Failed,12,1,1
Break,735.9,Failed,11,1,1
Break,843.6,Failed,10,1,1
Break,941.05,Failed,9,1,1
Break,968.55,Failed,8,1,1
Break,1046.52,Failed,7,1,1
Break,1055.45,Failed,6,1,1
Obstruction,1149.66,Censored,5,0,1
Break,1202.7,Failed,4,1,1
Break,1221,Failed,3,1,1
Break,1514.7,Failed,2,1,1
Break,1740.75,Failed,1,1,1
