Failure,Cycles,Censoring Indicator
Break,729.3,Censored
Break,292.05,Censored
Break,1514.7,Censored
Break,141.9,Censored
Break,941.05,Censored
Break,1055.45,Censored
Break,1221,Censored
Break,968.55,Censored
Break,413.05,Censored
Break,547.25,Censored
Break,735.9,Censored
Break,1740.75,Censored
Break,503.88,Censored
Break,201.78,Censored
Break,1046.52,Censored
Break,98.04,Censored
Break,650.18,Censored
Break,729.22,Censored
Break,843.6,Censored
Break,669.18,Censored
Break,285.38,Censored
Break,378.1,Censored
Break,508.44,Censored
Break,1202.7,Censored
Break,503.88,Censored
Obstruction,137.72,Failed
Obstruction,26.78,Failed
Obstruction,427.35,Failed
Obstruction,139.72,Failed
Obstruction,51.7,Failed
Obstruction,290.11,Failed
Obstruction,10.02,Failed
Obstruction,99.33,Failed
Obstruction,91.28,Failed
Obstruction,23.19,Failed
Obstruction,89.38,Failed
Obstruction,27.81,Failed
Obstruction,150.15,Failed
Obstruction,47.87,Failed
Obstruction,122.4,Failed
Obstruction,41.82,Failed
Obstruction,195.94,Failed
Obstruction,99.44,Failed
Obstruction,257.47,Failed
Obstruction,55.59,Failed
Obstruction,100.23,Failed
Obstruction,43.89,Failed
Obstruction,437.29,Failed
Obstruction,63.2,Failed
Obstruction,63.12,Failed
Obstruction,94.35,Failed
Obstruction,155.43,Failed
Obstruction,90.63,Failed
Obstruction,455.87,Failed
Obstruction,9.24,Failed
Obstruction,7.14,Failed
Obstruction,21.27,Failed
Obstruction,596.67,Failed
Obstruction,112.04,Failed
Obstruction,203.22,Failed
Obstruction,23.1,Failed
Obstruction,1149.66,Failed
Obstruction,181.6,Failed
Obstruction,69.34,Failed
Obstruction,321.2,Failed
