Failure,Cycles,Censoring Indicator,Risked,Failed
Obstruction,7.14,Failed,65,1
Obstruction,9.24,Failed,65,1
Obstruction,10.02,Failed,63,1
Obstruction,21.27,Failed,62,1
Obstruction,23.1,Failed,61,1
Obstruction,23.19,Failed,60,1
Obstruction,26.78,Failed,59,1
Obstruction,27.81,Failed,58,1
Obstruction,41.82,Failed,57,1
Obstruction,43.89,Failed,56,1
Obstruction,47.87,Failed,55,1
Obstruction,51.7,Failed,54,1
Obstruction,55.59,Failed,53,1
Obstruction,63.12,Failed,52,1
Obstruction,63.2,Failed,51,1
Obstruction,69.34,Failed,50,1
Obstruction,89.38,Failed,49,1
Obstruction,90.63,Failed,48,1
Obstruction,91.28,Failed,47,1
Obstruction,94.35,Failed,46,1
Break,98.04,Censored,45,0
Obstruction,99.33,Failed,44,1
Obstruction,99.44,Failed,43,1
Obstruction,100.23,Failed,42,1
Obstruction,112.04,Failed,41,1
Obstruction,122.4,Failed,40,1
Obstruction,137.72,Failed,39,1
Obstruction,139.72,Failed,38,1
Break,141.9,Censored,37,0
Obstruction,150.15,Failed,36,1
Obstruction,155.43,Failed,35,1
Obstruction,181.6,Failed,34,1
Obstruction,195.94,Failed,33,1
Break,201.78,Censored,32,0
Obstruction,203.22,Failed,31,1
Obstruction,257.47,Failed,30,1
Break,285.38,Censored,29,0
Obstruction,290.11,Failed,28,1
Break,292.05,Censored,27,0
Obstruction,321.2,Failed,26,1
Break,378.1,Censored,25,0
Break,413.05,Censored,24,0
Obstruction,427.35,Failed,23,1
Obstruction,437.29,Failed,22,1
Obstruction,455.87,Failed,21,1
Break,503.88,Censored,20,0
Break,508.44,Censored,18,0
Break,547.25,Censored,17,0
Obstruction,596.67,Failed,16,1
Break,650.18,Censored,15,0
Break,669.18,Censored,14,0
Break,729.22,Censored,13,0
Break,729.3,Censored,12,0
Break,735.9,Censored,11,0
Break,843.6,Censored,10,0
Break,941.05,Censored,9,0
Break,968.55,Censored,8,0
Break,1046.52,Censored,7,0
Break,1055.45,Censored,6,0
Obstruction,1149.66,Failed,5,1
Break,1202.7,Censored,4,0
Break,1221,Censored,3,0
Break,1514.7,Censored,2,0
Break,1740.75,Censored,1,0
